Variable name ;Unit;type; Description
step_number   ;-;Integer; Index of the step
step_duration ;seconds ;Integer; Step duration
item_id       ;-;Integer; Item ID (e.g. plant) as given in the OPS as plant_id
component_id  ;-;Integer; Unique ID for the component in the given item (as read in the OPF)
group         ;-;String; Functional group. Given by the Group field in the plant.yml file
type          ;-;String; Component type. Given by the Type names in the plant.yml files
area          ;m2;Float; Component area (i.e. mesh area)
surface_hits  ;hit m-2;Float; Component light ray hits count per area unit
barycentre_x  ;m;Float; Barycentre of the component in X (~ X position of the component)
barycentre_y  ;m;Float; Barycentre of the component in Y (~ Y position of the component)
barycentre_z  ;m;Float; Barycentre of the component in Z (~ Z position of the component)
sky_fraction  ;0-1;Float; Fraction of the semi-hemisphere viewed by the component that is sky
Ri_PAR_0_f    ;W m-2;Float; Order 0 irradiance (intercepted light before scattering) for PAR
Ri_NIR_0_f    ;W m-2;Float; Order 0 irradiance for NIR (W m-2)
Ri_PAR_0_q    ;J;Float; Order 0 energy (intercepted light before scattering) for PAR
Ri_NIR_0_q    ;J; Float; Order 0 energy for NIR (J)
Ri_PAR_f      ;W m-2;Float;  Order n (including scattering) irradiance for PAR
Ri_NIR_f      ;W m-2;Float;  Order n irradiance for NIR
Ri_TIR_f      ;W m-2;Float;  Intercepted TIR irradiance (from atmosphere + environment)
Ri_PAR_q      ;J; Float;  Order n energy for PAR
Ri_NIR_q      ;J; Float;  Order n energy for PAR
Ri_TIR_q      ;J; Float;  Intercepted TIR energy (from atmosphere + environment)
Ra_PAR_0_f    ;W m-2;Float;  Order 0 absorbed PAR
Ra_NIR_0_f    ;W m-2;Float;  Order 0 absorbed NIR
Ra_PAR_0_q    ;J; Float;  Order 0 absorbed PAR
Ra_NIR_0_q    ;J; Float;  Order 0 absorbed NIR
Ra_PAR_f      ;W m-2;Float;  Order n absorbed PAR
Ra_NIR_f      ;W m-2;Float;  Order n absorbed NIR
Ra_TIR_f      ;W m-2;Float;  Absorbed TIR power (balance: intercepted - emmitted)
Ra_PAR_q      ;J; Float;  Order n absorbed PAR
Ra_NIR_q      ;J; Float;  Order n absorbed NIR
Ra_TIR_q      ;J; Float;  Absorbed TIR energy (balance: intercepted - emitted)
An_f          ;umol m-2 s-1;Float;  Net CO2 assimilation rate
An_q          ;umol;Float;  Net assimilated CO2
Gs            ;mol m-2 s-1;Float;  Stomatal conductance for CO2
H_f           ;W m-2;Float;  Sensible heat flux
H_q           ;J;Float;  Sensible heat quantity
LE_f          ;W m-2;Float;  Latent heat flux
LE_q          ;J;Float;  Latent heat quantity
Tr_f          ;mm m-2 s-1;Float;  Transpiration flux
Tr_q          ;mm;Float;  Transpiration quantity
T             ;Celsius degree;Float;  Temperature
